,id_starname,id_kic,id_koicand,id_kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,kic_kepmag,kic_jmag,kic_hmag,kic_kmag,cks_fp,cks_steff,cks_steff_err1,cks_steff_err2,cks_slogg,cks_slogg_err1,cks_slogg_err2,cks_smet,cks_smet_err1,cks_smet_err2,cks_svsini,cks_svsini_err1,cks_svsini_err2,iso_steff,iso_steff_err1,iso_steff_err2,iso_slogg,iso_slogg_err1,iso_slogg_err2,iso_smet,iso_smet_err1,iso_smet_err2,iso_srad,iso_srad_err1,iso_srad_err2,iso_smass,iso_smass_err1,iso_smass_err2,iso_sage,iso_sage_err1,iso_sage_err2,iso_slogage,iso_slogage_err1,iso_slogage_err2,iso_sparallax,iso_sparallax_err1,iso_sparallax_err2,iso_prad,iso_prad_err1,iso_prad_err2,iso_sma,iso_sma_err1,iso_sma_err2,iso_insol,iso_insol_err1,iso_insol_err2,iso_teq,iso_teq_err1,iso_teq_err2,cks_dilution,cks_rcf,parallax1,parallax1_err0,parallax2,parallax2_err1,parallax2_err2
11,K00041,6521045,K00041.01,Kepler-100 c,CONFIRMED,12.81588378,1.836e-05,-1.836e-05,2454955.948,0.0011,-0.0011,0.5891,0.0307,-0.4634,6.3728,0.0413,-0.0413,,,,218.1,2.0,-2.0,0.014026,7.9e-05,-0.000601,0.2361,0.17779,-0.02243,2.28,0.06,-0.05,0.11,,,946.0,,,189.05,19.38,-17.88,12.7,4.8,-4.8,69.08899,110.3,3,,5825.0,75.0,-75.0,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063,,,,stellar_q1_q16,11.197,10.081,9.804,9.768,False,5854.4,60.0,-60.0,4.073,0.1,-0.1,0.102,0.04,-0.04,2.7,1.0,-1.0,5854.0,60.0,60.0,4.103,0.104,-0.096,0.098,0.043,-0.042,1.526,0.034,0.033,1.097,0.072,0.03,6.71428852926,1.29042535595,-1.51341532561,9.827,0.0763458134203,-0.110923734117,3.32,0.49,-0.45,2.34,0.077,0.077,0.110943998213,0.00240653708718,-0.00240653708718,205.741751267,61.0117266922,-61.0117266922,965.148486944,71.3523375746,-71.3523375746,1.0,1.0083,3.307,0.019,3.411,0.38,0.489
12,K00041,6521045,K00041.02,Kepler-100 b,CONFIRMED,6.88706037,2.038e-05,-2.038e-05,2454966.178,0.00239,-0.00239,0.5134,0.0017,-0.482,4.4276,0.0728,-0.0728,,,,73.9,1.8,-1.8,0.008062,0.001336,-0.000227,0.44013,0.28288,-0.00436,1.31,0.03,-0.03,0.0727,,,1163.0,,,432.81,44.37,-40.95,10.33,3.3,-3.3,28.842234,47.9,3,,5825.0,75.0,-75.0,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063,,,,stellar_q1_q16,11.197,10.081,9.804,9.768,False,5854.4,60.0,-60.0,4.073,0.1,-0.1,0.102,0.04,-0.04,2.7,1.0,-1.0,5854.0,60.0,60.0,4.103,0.104,-0.096,0.098,0.043,-0.042,1.526,0.034,0.033,1.097,0.072,0.03,6.71428852926,1.29042535595,-1.51341532561,9.827,0.0763458134203,-0.110923734117,3.32,0.49,-0.45,1.344,0.133,0.133,0.0733378836429,0.00159987021085,-0.00159987021085,470.454733427,139.442303661,-139.442303661,1186.84221864,88.237666096,-88.237666096,1.0,1.0083,3.307,0.019,3.411,0.38,0.489
13,K00041,6521045,K00041.03,Kepler-100 d,CONFIRMED,35.3330866,0.0002155,-0.0002155,2454986.983,0.00481,-0.00481,0.5942,0.367,-0.3598,5.904,0.131,-0.131,,,,93.8,3.3,-3.3,0.009209,0.002335,-0.000349,0.78634,0.54499,-0.7508,1.5,0.03,-0.04,0.2163,,,674.0,,,48.89,5.02,-4.62,37.3,12.9,-12.9,17.674736,30.2,3,,5825.0,75.0,-75.0,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063,,,,stellar_q1_q16,11.197,10.081,9.804,9.768,False,5854.4,60.0,-60.0,4.073,0.1,-0.1,0.102,0.04,-0.04,2.7,1.0,-1.0,5854.0,60.0,60.0,4.103,0.104,-0.096,0.098,0.043,-0.042,1.526,0.034,0.033,1.097,0.072,0.03,6.71428852926,1.29042535595,-1.51341532561,9.827,0.0763458134203,-0.110923734117,3.32,0.49,-0.45,1.536,0.232,0.232,0.218115230674,0.00470186226393,-0.00470186226393,53.0796264448,15.7084091241,-15.7084091241,687.852770045,50.8593109149,-50.8593109149,1.0,1.0083,3.307,0.019,3.411,0.38,0.489
15,K00046,10905239,K00046.01,Kepler-101 b,CONFIRMED,3.487689428,1.133e-06,-1.133e-06,2455003.932,0.000262,-0.000262,0.0356,0.1742,-0.0356,3.84268,0.00966,-0.00966,,,,1340.0,4.4,-4.4,0.033018,0.000203,-7.5e-05,0.57645,0.00343,-0.04204,4.36,1.01,-0.55,0.0468,,,1291.0,,,656.81,402.75,-205.16,7.1833,0.0427,-0.0427,328.54794,339.8,2,,5761.0,85.0,-150.0,4.325,0.094,-0.165,0.48,0.08,-0.18,1.208,0.282,-0.152,1.125,0.088,-0.104,,,,stellar_q1_q16,13.77,12.403,12.112,12.011,False,5660.6,60.0,-60.0,4.068,0.1,-0.1,0.392,0.04,-0.04,2.5,1.0,-1.0,5661.0,60.0,60.0,4.103,0.093,-0.081,0.369,0.041,-0.042,1.655,0.047,0.045,1.244,0.033,0.094,6.23734835482,1.68095765384,-1.57942514661,9.795,0.103632281365,-0.126807675639,1.18,0.17,-0.14,5.97,0.168,0.168,0.0472795583424,0.00132107174984,-0.00132107174984,1030.563356,279.370299831,-279.370299831,1443.88365415,97.8175686331,-97.8175686331,1.0,1.0,1.102,0.017,1.192,0.125,0.156
16,K00046,10905239,K00046.02,Kepler-101 c,CONFIRMED,6.02979518,7.054e-05,-7.054e-05,2454965.482,0.00886,-0.00886,0.4143,0.0422,-0.4142,3.91,0.255,-0.255,,,,55.5,5.4,-5.4,0.006862,0.000255,-0.000539,0.66141,0.39846,-0.18209,0.91,0.21,-0.12,0.0675,,,1075.0,,,315.74,193.6,-98.63,10.83,3.3,-3.3,10.283713,11.5,2,,5761.0,85.0,-150.0,4.325,0.094,-0.165,0.48,0.08,-0.18,1.208,0.282,-0.152,1.125,0.088,-0.104,,,,stellar_q1_q16,13.77,12.403,12.112,12.011,False,5660.6,60.0,-60.0,4.068,0.1,-0.1,0.392,0.04,-0.04,2.5,1.0,-1.0,5661.0,60.0,60.0,4.103,0.093,-0.081,0.369,0.041,-0.042,1.655,0.047,0.045,1.244,0.033,0.094,6.23734835482,1.68095765384,-1.57942514661,9.795,0.103632281365,-0.126807675639,1.18,0.17,-0.14,1.241,0.08,0.08,0.0680938671759,0.00188361690092,-0.00188361690092,497.053586791,132.230587356,-132.230587356,1203.2734357,79.6809101294,-79.6809101294,1.0,1.0,1.102,0.017,1.192,0.125,0.156
21,K00070,6850504,K00070.01,Kepler-20 c,CONFIRMED,10.854097835,4.4e-06,-4.4e-06,2454971.608,0.000332,-0.000332,0.4384,0.0097,-0.4058,3.7747,0.0206,-0.0206,,,,1051.0,4.1,-4.1,0.029956,0.001821,-0.000609,1.38033,0.37992,-0.77306,3.03,0.53,-0.24,0.0919,,,765.0,,,80.88,40.3,-16.96,20.49,5.6,-5.6,195.4274,279.8,5,,5465.0,110.0,-96.0,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041,,,,stellar_q1_q16,12.498,11.252,10.91,10.871,False,5507.7,60.0,-60.0,4.469,0.1,-0.1,0.108,0.04,-0.04,0.0,1.0,-1.0,5508.0,60.0,60.0,4.452,0.065,-0.082,0.103,0.042,-0.042,0.88,0.021,0.02,0.942,0.02,0.026,7.41310241301,3.87858417705,-4.09236311248,9.87,0.182758815446,-0.348765217984,3.37,0.24,-0.29,2.88,0.134,0.134,0.0938137046701,0.00156414005621,-0.00156414005621,84.4419050191,14.3651285864,-14.3651285864,772.508081932,32.8589216181,-32.8589216181,1.003,1.0054,3.563,0.022,3.352,0.178,0.267
22,K00070,6850504,K00070.02,Kepler-20 b,CONFIRMED,3.696119675,2.31e-06,-2.31e-06,2454967.502,0.000523,-0.000523,0.8424,0.0077,-0.5999,2.5474,0.0403,-0.0403,,,,396.7,3.0,-3.0,0.020874,0.001408,-0.002266,0.37253,1.35869,-0.06485,2.11,0.37,-0.17,0.0448,,,1095.0,,,340.33,169.57,-71.36,6.46,2.9,-2.9,104.65924,145.1,5,,5465.0,110.0,-96.0,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041,,,,stellar_q1_q16,12.498,11.252,10.91,10.871,False,5507.7,60.0,-60.0,4.469,0.1,-0.1,0.108,0.04,-0.04,0.0,1.0,-1.0,5508.0,60.0,60.0,4.452,0.065,-0.082,0.103,0.042,-0.042,0.88,0.021,0.02,0.942,0.02,0.026,7.41310241301,3.87858417705,-4.09236311248,9.87,0.182758815446,-0.348765217984,3.37,0.24,-0.29,2.007,0.183,0.183,0.0457584980386,0.000772052179647,-0.000772052179647,355.352832389,60.2505467879,-60.2505467879,1106.44153745,46.6927975824,-46.6927975824,1.003,1.0054,3.563,0.022,3.352,0.178,0.267
23,K00070,6850504,K00070.03,Kepler-20 d,CONFIRMED,77.6115987,0.0001357,-0.0001357,2454997.727,0.0015,-0.0015,0.1206,0.2677,-0.1206,7.2566,0.0459,-0.0459,,,,827.5,8.0,-8.0,0.025923,0.000539,-0.000257,1.81167,0.07611,-0.37265,2.62,0.46,-0.21,0.3411,,,397.0,,,5.87,2.93,-1.23,83.25,3.5,-3.5,73.56477,106.3,5,,5465.0,110.0,-96.0,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041,,,,stellar_q1_q16,12.498,11.252,10.91,10.871,False,5507.7,60.0,-60.0,4.469,0.1,-0.1,0.108,0.04,-0.04,0.0,1.0,-1.0,5508.0,60.0,60.0,4.452,0.065,-0.082,0.103,0.042,-0.042,0.88,0.021,0.02,0.942,0.02,0.026,7.41310241301,3.87858417705,-4.09236311248,9.87,0.182758815446,-0.348765217984,3.37,0.24,-0.29,2.492,0.069,0.069,0.348344025927,0.0057797945948,-0.0057797945948,6.13488331345,1.05288968406,-1.05288968406,401.06531309,17.1399610494,-17.1399610494,1.003,1.0054,3.563,0.022,3.352,0.178,0.267
25,K00070,6850504,K00070.04,Kepler-20 e,CONFIRMED,6.09853672,2.838e-05,-2.838e-05,2454968.93,0.00391,-0.00391,0.5636,0.3768,-0.3588,2.881,0.111,-0.111,,,,74.8,3.6,-3.6,0.008166,0.001752,-0.0004,1.26256,0.77232,-1.14952,0.82,0.15,-0.06,0.0626,,,927.0,,,174.3,86.85,-36.54,13.54,4.1,-4.1,16.601109,23.3,5,,5465.0,110.0,-96.0,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041,,,,stellar_q1_q16,12.498,11.252,10.91,10.871,False,5507.7,60.0,-60.0,4.469,0.1,-0.1,0.108,0.04,-0.04,0.0,1.0,-1.0,5508.0,60.0,60.0,4.452,0.065,-0.082,0.103,0.042,-0.042,0.88,0.021,0.02,0.942,0.02,0.026,7.41310241301,3.87858417705,-4.09236311248,9.87,0.182758815446,-0.348765217984,3.37,0.24,-0.29,0.784,0.105,0.105,0.0638696820703,0.00106034392069,-0.00106034392069,182.103796573,31.0102032132,-31.0102032132,936.145332172,39.6950187726,-39.6950187726,1.003,1.0054,3.563,0.022,3.352,0.178,0.267
24,K00070,6850504,K00070.05,Kepler-20 f,CONFIRMED,19.5776286,0.000124,-0.000124,2454968.206,0.00524,-0.00524,0.3268,0.1317,-0.3267,3.744,0.151,-0.151,,,,115.6,5.7,-5.7,0.009811,0.000402,-0.000317,2.74647,1.24978,-0.58136,0.99,0.18,-0.08,0.1362,,,628.0,,,36.82,18.35,-7.72,38.2,17.4,-17.4,13.279935,23.0,5,,5465.0,110.0,-96.0,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041,,,,stellar_q1_q16,12.498,11.252,10.91,10.871,False,5507.7,60.0,-60.0,4.469,0.1,-0.1,0.108,0.04,-0.04,0.0,1.0,-1.0,5508.0,60.0,60.0,4.452,0.065,-0.082,0.103,0.042,-0.042,0.88,0.021,0.02,0.942,0.02,0.026,7.41310241301,3.87858417705,-4.09236311248,9.87,0.182758815446,-0.348765217984,3.37,0.24,-0.29,0.942,0.041,0.041,0.139043286898,0.00232804735797,-0.00232804735797,38.4863301151,6.44068012502,-6.44068012502,634.7316453,26.4338024955,-26.4338024955,1.003,1.0054,3.563,0.022,3.352,0.178,0.267
