# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 14 14:44:06 2019
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
#
kepid,kepoi_name,kepler_name,koi_impact,koi_impact_err1,koi_impact_err2
11446443,K00001.01,Kepler-1 b,0.818,0.001,-0.001
10666592,K00002.01,Kepler-2 b,0.224,0.159,-0.216
10748390,K00003.01,Kepler-3 b,0.054,0.145,-0.054
3861595,K00004.01,Kepler-1658 b,0.915,0.020,-0.056
8554498,K00005.01,,0.952,0.001,-0.002
3248033,K00006.01,,0.153,0.228,-0.153
11853905,K00007.01,Kepler-4 b,0.021,0.188,-0.021
5903312,K00008.01,,0.748,0.025,-0.515
11553706,K00009.01,,1.279,0.169,-0.078
6922244,K00010.01,Kepler-8 b,0.631,0.007,-0.007
11913073,K00011.01,,1.121,1.104,-0.035
5812701,K00012.01,Kepler-448 b,0.075,0.106,-0.043
9941662,K00013.01,Kepler-13 b,0.512,0.007,-0.008
7684873,K00014.01,,2.641,10.990,-0.707
3964562,K00015.01,,1.261,0.509,-0.102
9110357,K00016.01,,0.928,0.022,-0.045
10874614,K00017.01,Kepler-6 b,0.079,0.003,-0.058
8191672,K00018.01,Kepler-5 b,0.075,0.013,-0.053
7255336,K00019.01,,1.274,3.088,-0.042
11804465,K00020.01,Kepler-12 b,0.069,0.007,-0.050
10125352,K00021.01,,1.283,0.594,-0.180
9631995,K00022.01,Kepler-422 b,0.306,0.022,-0.028
9071386,K00023.01,,0.230,0.024,-0.030
4743513,K00024.01,,0.914,0.008,-0.012
10593759,K00025.01,,1.251,3.655,-0.151
5021737,K00026.01,,0.902,0.003,-0.003
3832716,K00027.01,,0.598,0.007,-0.007
4247791,K00028.01,,0.938,0.015,-0.014
6956014,K00031.01,,0.616,0.056,-0.474
5725087,K00033.01,,0.319,0.167,-0.318
6521045,K00041.01,Kepler-100 c,0.580,0.005,-0.486
6521045,K00041.02,Kepler-100 b,0.696,0.029,-0.508
6521045,K00041.03,Kepler-100 d,0.656,0.270,-0.433
8866102,K00042.01,Kepler-410 A b,0.013,0.278,-0.013
9025922,K00043.01,,0.914,0.010,-0.011
8845026,K00044.01,,0.116,0.039,-0.078
3742855,K00045.01,,0.755,0.004,-0.006
10905239,K00046.01,Kepler-101 b,0.026,0.205,-0.026
10905239,K00046.02,Kepler-101 c,0.379,0.088,-0.379
7837302,K00048.01,,1.008,0.013,-0.013
9527334,K00049.01,Kepler-461 b,0.002,0.432,-0.002
6056992,K00051.01,,1.225,1.051,-0.137
3558981,K00052.01,,0.621,0.055,-0.159
2445975,K00053.01,,0.387,0.009,-0.352
8248939,K00061.01,,1.190,11.240,-0.079
11554435,K00063.01,Kepler-63 b,0.538,0.046,-0.434
7051180,K00064.01,,0.925,0.029,-0.721
10620329,K00066.01,,1.269,0.305,-0.159
8669092,K00068.01,,1.165,8.618,-0.184
3544595,K00069.01,Kepler-93 b,0.657,0.042,-0.449
6850504,K00070.01,Kepler-20 c,0.422,0.034,-0.358
6850504,K00070.02,Kepler-20 b,0.016,0.371,-0.016
6850504,K00070.03,Kepler-20 d,0.094,0.323,-0.094
6850504,K00070.04,Kepler-20 e,0.210,0.241,-0.210
6850504,K00070.05,Kepler-20 f,0.049,0.394,-0.049
11904151,K00072.01,Kepler-10 b,0.022,0.388,-0.022
11904151,K00072.02,Kepler-10 c,0.025,0.333,-0.025
6889235,K00074.01,,0.884,0.013,-0.021
7199397,K00075.01,,0.539,0.044,-0.149
9955262,K00076.01,,0.019,0.345,-0.019
9552608,K00080.01,,1.234,0.220,-0.112
8823868,K00081.01,,0.014,0.214,-0.014
10187017,K00082.01,Kepler-102 e,0.750,0.016,-0.514
10187017,K00082.02,Kepler-102 d,0.747,0.089,-0.528
10187017,K00082.03,Kepler-102 f,0.765,0.142,-0.556
10187017,K00082.04,Kepler-102 c,0.658,0.292,-0.433
10187017,K00082.05,Kepler-102 b,0.705,0.230,-0.494
10187017,K00082.06,,0.869,0.077,-0.611
2571238,K00084.01,Kepler-19 b,0.004,0.340,-0.004
5866724,K00085.01,Kepler-65 c,0.049,0.281,-0.049
5866724,K00085.02,Kepler-65 b,0.113,0.345,-0.113
5866724,K00085.03,Kepler-65 d,0.622,0.059,-0.457
10593626,K00087.01,Kepler-22 b,0.856,0.043,-0.649
7700871,K00088.01,,1.203,5.224,-0.118
8056665,K00089.01,Kepler-462 b,0.017,0.303,-0.017
8056665,K00089.02,,0.840,0.031,-0.572
9210823,K00090.01,,0.615,0.089,-0.445
7941200,K00092.01,,0.663,0.197,-0.434
6462863,K00094.01,Kepler-89 d,0.031,0.045,-0.031
6462863,K00094.02,Kepler-89 c,0.005,0.299,-0.005
6462863,K00094.03,Kepler-89 e,0.497,0.005,-0.357
6462863,K00094.04,Kepler-89 b,0.008,0.392,-0.008
5780885,K00097.01,Kepler-7 b,0.361,0.014,-0.017
10264660,K00098.01,Kepler-14 b,0.486,0.051,-0.095
4055765,K00100.01,,0.966,0.012,-0.008
8456679,K00102.01,,0.045,0.192,-0.045
8456679,K00102.02,,0.550,0.377,-0.337
2444412,K00103.01,,0.014,0.339,-0.014
10318874,K00104.01,Kepler-94 b,0.742,0.047,-0.143
8711794,K00105.01,Kepler-463 b,0.097,0.242,-0.097
10489525,K00106.01,,1.171,0.710,-0.135
11250587,K00107.01,Kepler-464 b,0.676,0.073,-0.481
4914423,K00108.01,Kepler-103 b,0.674,0.026,-0.460
4914423,K00108.02,Kepler-103 c,0.711,0.011,-0.400
4752451,K00109.01,,1.187,6.629,-0.013
9450647,K00110.01,Kepler-465 b,0.020,0.229,-0.020
6678383,K00111.01,Kepler-104 b,0.608,0.040,-0.409
6678383,K00111.02,Kepler-104 c,0.758,0.085,-0.542
6678383,K00111.03,Kepler-104 d,0.638,0.180,-0.412
10984090,K00112.01,Kepler-466 b,0.017,0.267,-0.017
10984090,K00112.02,Kepler-466 c,0.051,0.395,-0.051
6721123,K00114.01,,1.169,7.133,-0.044
9579641,K00115.01,Kepler-105 b,0.787,0.005,-0.565
9579641,K00115.02,Kepler-105 c,0.898,0.013,-0.699
9579641,K00115.03,,0.624,0.037,-0.476
8395660,K00116.01,Kepler-106 c,0.866,0.015,-0.621
8395660,K00116.02,Kepler-106 e,0.852,0.039,-0.585
8395660,K00116.03,Kepler-106 b,0.646,0.323,-0.430
8395660,K00116.04,Kepler-106 d,0.950,0.004,-0.660
10875245,K00117.01,Kepler-107 e,0.173,0.262,-0.173
10875245,K00117.02,Kepler-107 c,0.529,0.021,-0.460
10875245,K00117.03,Kepler-107 b,0.196,0.242,-0.196
