# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 14 14:41:58 2019
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_pdisposition: Disposition Using Kepler Data
#
kepid,kepoi_name,kepler_name,koi_pdisposition
11446443,K00001.01,Kepler-1 b,CANDIDATE
10666592,K00002.01,Kepler-2 b,CANDIDATE
10748390,K00003.01,Kepler-3 b,CANDIDATE
3861595,K00004.01,Kepler-1658 b,CANDIDATE
8554498,K00005.01,,CANDIDATE
8554498,K00005.02,,FALSE POSITIVE
3248033,K00006.01,,FALSE POSITIVE
11853905,K00007.01,Kepler-4 b,CANDIDATE
5903312,K00008.01,,FALSE POSITIVE
11553706,K00009.01,,FALSE POSITIVE
6922244,K00010.01,Kepler-8 b,CANDIDATE
11913073,K00011.01,,FALSE POSITIVE
5812701,K00012.01,Kepler-448 b,CANDIDATE
9941662,K00013.01,Kepler-13 b,CANDIDATE
7684873,K00014.01,,FALSE POSITIVE
3964562,K00015.01,,FALSE POSITIVE
9110357,K00016.01,,FALSE POSITIVE
10874614,K00017.01,Kepler-6 b,CANDIDATE
8191672,K00018.01,Kepler-5 b,CANDIDATE
7255336,K00019.01,,FALSE POSITIVE
11804465,K00020.01,Kepler-12 b,CANDIDATE
10125352,K00021.01,,FALSE POSITIVE
9631995,K00022.01,Kepler-422 b,CANDIDATE
9071386,K00023.01,,FALSE POSITIVE
4743513,K00024.01,,FALSE POSITIVE
10593759,K00025.01,,FALSE POSITIVE
5021737,K00026.01,,FALSE POSITIVE
3832716,K00027.01,,FALSE POSITIVE
4247791,K00028.01,,FALSE POSITIVE
6956014,K00031.01,,FALSE POSITIVE
5725087,K00033.01,,FALSE POSITIVE
6521045,K00041.01,Kepler-100 c,CANDIDATE
6521045,K00041.02,Kepler-100 b,CANDIDATE
6521045,K00041.03,Kepler-100 d,CANDIDATE
8866102,K00042.01,Kepler-410 A b,CANDIDATE
9025922,K00043.01,,FALSE POSITIVE
8845026,K00044.01,,FALSE POSITIVE
3742855,K00045.01,,FALSE POSITIVE
10905239,K00046.01,Kepler-101 b,CANDIDATE
10905239,K00046.02,Kepler-101 c,CANDIDATE
7837302,K00048.01,,FALSE POSITIVE
9527334,K00049.01,Kepler-461 b,CANDIDATE
6056992,K00051.01,,FALSE POSITIVE
3558981,K00052.01,,FALSE POSITIVE
2445975,K00053.01,,FALSE POSITIVE
8248939,K00061.01,,FALSE POSITIVE
11554435,K00063.01,Kepler-63 b,CANDIDATE
7051180,K00064.01,,CANDIDATE
10223615,K00065.01,,FALSE POSITIVE
10620329,K00066.01,,FALSE POSITIVE
8669092,K00068.01,,FALSE POSITIVE
3544595,K00069.01,Kepler-93 b,CANDIDATE
6850504,K00070.01,Kepler-20 c,CANDIDATE
6850504,K00070.02,Kepler-20 b,CANDIDATE
6850504,K00070.03,Kepler-20 d,CANDIDATE
6850504,K00070.04,Kepler-20 e,CANDIDATE
6850504,K00070.05,Kepler-20 f,CANDIDATE
11904151,K00072.01,Kepler-10 b,CANDIDATE
11904151,K00072.02,Kepler-10 c,CANDIDATE
6889235,K00074.01,,FALSE POSITIVE
7199397,K00075.01,,CANDIDATE
9955262,K00076.01,,CANDIDATE
9552608,K00080.01,,CANDIDATE
8823868,K00081.01,,FALSE POSITIVE
10187017,K00082.01,Kepler-102 e,CANDIDATE
10187017,K00082.02,Kepler-102 d,CANDIDATE
10187017,K00082.03,Kepler-102 f,CANDIDATE
10187017,K00082.04,Kepler-102 c,CANDIDATE
10187017,K00082.05,Kepler-102 b,CANDIDATE
10187017,K00082.06,,FALSE POSITIVE
2571238,K00084.01,Kepler-19 b,CANDIDATE
5866724,K00085.01,Kepler-65 c,CANDIDATE
5866724,K00085.02,Kepler-65 b,CANDIDATE
5866724,K00085.03,Kepler-65 d,CANDIDATE
10593626,K00087.01,Kepler-22 b,CANDIDATE
7700871,K00088.01,,FALSE POSITIVE
8056665,K00089.01,Kepler-462 b,CANDIDATE
8056665,K00089.02,,CANDIDATE
9210823,K00090.01,,FALSE POSITIVE
7941200,K00092.01,,CANDIDATE
6462863,K00094.01,Kepler-89 d,CANDIDATE
6462863,K00094.02,Kepler-89 c,CANDIDATE
6462863,K00094.03,Kepler-89 e,CANDIDATE
6462863,K00094.04,Kepler-89 b,CANDIDATE
5780885,K00097.01,Kepler-7 b,CANDIDATE
10264660,K00098.01,Kepler-14 b,CANDIDATE
8505215,K00099.01,,CANDIDATE
8505215,K00099.02,,FALSE POSITIVE
4055765,K00100.01,,CANDIDATE
8456679,K00102.01,,CANDIDATE
8456679,K00102.02,,CANDIDATE
2444412,K00103.01,,CANDIDATE
10318874,K00104.01,Kepler-94 b,CANDIDATE
8711794,K00105.01,Kepler-463 b,CANDIDATE
10489525,K00106.01,,FALSE POSITIVE
11250587,K00107.01,Kepler-464 b,CANDIDATE
4914423,K00108.01,Kepler-103 b,CANDIDATE
4914423,K00108.02,Kepler-103 c,CANDIDATE
4752451,K00109.01,,FALSE POSITIVE
9450647,K00110.01,Kepler-465 b,CANDIDATE
6678383,K00111.01,Kepler-104 b,CANDIDATE
6678383,K00111.02,Kepler-104 c,CANDIDATE
6678383,K00111.03,Kepler-104 d,CANDIDATE
6678383,K00111.04,,FALSE POSITIVE
10984090,K00112.01,Kepler-466 b,CANDIDATE
10984090,K00112.02,Kepler-466 c,CANDIDATE
2306756,K00113.01,,FALSE POSITIVE
6721123,K00114.01,,FALSE POSITIVE
9579641,K00115.01,Kepler-105 b,CANDIDATE
9579641,K00115.02,Kepler-105 c,CANDIDATE
9579641,K00115.03,,CANDIDATE
8395660,K00116.01,Kepler-106 c,CANDIDATE
8395660,K00116.02,Kepler-106 e,CANDIDATE
8395660,K00116.03,Kepler-106 b,CANDIDATE
8395660,K00116.04,Kepler-106 d,CANDIDATE
10875245,K00117.01,Kepler-107 e,CANDIDATE
10875245,K00117.02,Kepler-107 c,CANDIDATE
10875245,K00117.03,Kepler-107 b,CANDIDATE
10875245,K00117.04,Kepler-107 d,CANDIDATE
3531558,K00118.01,Kepler-467 b,CANDIDATE
9471974,K00119.01,Kepler-108 b,CANDIDATE
9471974,K00119.02,Kepler-108 c,CANDIDATE
11869052,K00120.01,,FALSE POSITIVE
3247396,K00121.01,,FALSE POSITIVE
8349582,K00122.01,Kepler-95 b,CANDIDATE
5094751,K00123.01,Kepler-109 b,CANDIDATE
5094751,K00123.02,Kepler-109 c,CANDIDATE
11086270,K00124.01,Kepler-110 b,CANDIDATE
11086270,K00124.02,Kepler-110 c,CANDIDATE
11449844,K00125.01,Kepler-468 b,FALSE POSITIVE
5897826,K00126.01,Kepler-469 b,FALSE POSITIVE
5897826,K00126.02,,CANDIDATE
8359498,K00127.01,Kepler-77 b,CANDIDATE
11359879,K00128.01,Kepler-15 b,CANDIDATE
11974540,K00129.01,Kepler-470 b,FALSE POSITIVE
11974540,K00129.02,,CANDIDATE
5297298,K00130.01,,FALSE POSITIVE
7778437,K00131.01,Kepler-471 b,CANDIDATE
8892910,K00132.01,,FALSE POSITIVE
11673674,K00133.01,,FALSE POSITIVE
9032900,K00134.01,,CANDIDATE
9818381,K00135.01,Kepler-43 b,CANDIDATE
7601633,K00136.01,,FALSE POSITIVE
8644288,K00137.01,Kepler-18 c,CANDIDATE
8644288,K00137.02,Kepler-18 d,CANDIDATE
8644288,K00137.03,Kepler-18 b,CANDIDATE
8506766,K00138.01,,FALSE POSITIVE
8559644,K00139.01,Kepler-111 c,CANDIDATE
8559644,K00139.02,Kepler-111 b,CANDIDATE
5130369,K00140.01,,FALSE POSITIVE
12105051,K00141.01,,CANDIDATE
5446285,K00142.01,Kepler-88 b,CANDIDATE
5446285,K00142.02,,FALSE POSITIVE
4649305,K00143.01,,FALSE POSITIVE
4180280,K00144.01,Kepler-472 b,CANDIDATE
9904059,K00145.01,,FALSE POSITIVE
9048161,K00146.01,,FALSE POSITIVE
1996679,K00147.01,,FALSE POSITIVE
5735762,K00148.01,Kepler-48 b,CANDIDATE
5735762,K00148.02,Kepler-48 c,CANDIDATE
5735762,K00148.03,Kepler-48 d,CANDIDATE
3835670,K00149.01,Kepler-473 b,CANDIDATE
7626506,K00150.01,Kepler-112 b,CANDIDATE
7626506,K00150.02,Kepler-112 c,CANDIDATE
2307199,K00151.01,,CANDIDATE
8394721,K00152.01,Kepler-79 d,CANDIDATE
8394721,K00152.02,Kepler-79 c,CANDIDATE
8394721,K00152.03,Kepler-79 b,CANDIDATE
8394721,K00152.04,Kepler-79 e,CANDIDATE
12252424,K00153.01,Kepler-113 c,CANDIDATE
12252424,K00153.02,Kepler-113 b,CANDIDATE
9970525,K00154.01,,FALSE POSITIVE
8030148,K00155.01,Kepler-474 b,CANDIDATE
10925104,K00156.01,Kepler-114 c,CANDIDATE
10925104,K00156.02,Kepler-114 b,CANDIDATE
10925104,K00156.03,Kepler-114 d,CANDIDATE
6541920,K00157.01,Kepler-11 c,CANDIDATE
6541920,K00157.02,Kepler-11 d,CANDIDATE
6541920,K00157.03,Kepler-11 e,CANDIDATE
6541920,K00157.04,Kepler-11 f,CANDIDATE
6541920,K00157.05,Kepler-11 g,CANDIDATE
6541920,K00157.06,Kepler-11 b,CANDIDATE
10555375,K00158.01,,FALSE POSITIVE
8972058,K00159.01,Kepler-115 c,CANDIDATE
8972058,K00159.02,Kepler-115 b,CANDIDATE
6631721,K00160.01,,FALSE POSITIVE
5084942,K00161.01,Kepler-475 b,CANDIDATE
8107380,K00162.01,Kepler-476 b,CANDIDATE
6851425,K00163.01,Kepler-477 b,CANDIDATE
5652237,K00164.01,,FALSE POSITIVE
9527915,K00165.01,Kepler-478 b,CANDIDATE
2441495,K00166.01,Kepler-479 b,CANDIDATE
11666881,K00167.01,Kepler-480 b,CANDIDATE
11512246,K00168.01,Kepler-23 c,CANDIDATE
11512246,K00168.02,Kepler-23 d,CANDIDATE
11512246,K00168.03,Kepler-23 b,CANDIDATE
6185711,K00169.01,,FALSE POSITIVE
11044770,K00170.01,,FALSE POSITIVE
7831264,K00171.01,Kepler-116 b,CANDIDATE
7831264,K00171.02,Kepler-116 c,CANDIDATE
8692861,K00172.01,Kepler-69 b,CANDIDATE
8692861,K00172.02,Kepler-69 c,CANDIDATE
11402995,K00173.01,Kepler-481 b,CANDIDATE
10810838,K00174.01,Kepler-482 b,CANDIDATE
8323753,K00175.01,,FALSE POSITIVE
6442377,K00176.01,Kepler-483 b,CANDIDATE
6803202,K00177.01,,CANDIDATE
11455491,K00178.01,,FALSE POSITIVE
9663113,K00179.01,Kepler-458 c,CANDIDATE
9663113,K00179.02,Kepler-458 b,CANDIDATE
9573539,K00180.01,Kepler-484 b,CANDIDATE
12504988,K00181.01,,FALSE POSITIVE
5376836,K00182.01,,FALSE POSITIVE
9651668,K00183.01,Kepler-423 b,CANDIDATE
7972785,K00184.01,,FALSE POSITIVE
4178389,K00185.01,,CANDIDATE
12019440,K00186.01,Kepler-485 b,CANDIDATE
7023960,K00187.01,,FALSE POSITIVE
5357901,K00188.01,Kepler-425 b,CANDIDATE
11391018,K00189.01,Kepler-486 b,CANDIDATE
5771719,K00190.01,,FALSE POSITIVE
5972334,K00191.01,Kepler-487 b,CANDIDATE
5972334,K00191.02,,CANDIDATE
5972334,K00191.03,,CANDIDATE
5972334,K00191.04,Kepler-487 c,CANDIDATE
7950644,K00192.01,Kepler-427 b,CANDIDATE
10799735,K00193.01,,FALSE POSITIVE
10904857,K00194.01,Kepler-488 b,CANDIDATE
11502867,K00195.01,Kepler-426 b,CANDIDATE
9410930,K00196.01,Kepler-41 b,CANDIDATE
2987027,K00197.01,Kepler-489 b,CANDIDATE
10666242,K00198.01,,FALSE POSITIVE
10019708,K00199.01,Kepler-490 b,CANDIDATE
10019708,K00199.02,,FALSE POSITIVE
6046540,K00200.01,Kepler-74 b,CANDIDATE
6849046,K00201.01,Kepler-491 b,CANDIDATE
7877496,K00202.01,Kepler-412 b,CANDIDATE
10619192,K00203.01,Kepler-17 b,CANDIDATE
9305831,K00204.01,Kepler-44 b,CANDIDATE
7046804,K00205.01,Kepler-492 b,CANDIDATE
5728139,K00206.01,Kepler-433 b,CANDIDATE
3762468,K00208.01,Kepler-493 b,CANDIDATE
10723750,K00209.01,Kepler-117 c,CANDIDATE
10723750,K00209.02,Kepler-117 b,CANDIDATE
10602291,K00210.01,,CANDIDATE
10656508,K00211.01,,CANDIDATE
6300348,K00212.01,,CANDIDATE
9164836,K00213.01,,FALSE POSITIVE
11046458,K00214.01,Kepler-424 b,CANDIDATE
12508335,K00215.01,,FALSE POSITIVE
6152974,K00216.01,Kepler-118 c,CANDIDATE
6152974,K00216.02,Kepler-118 b,CANDIDATE
9595827,K00217.01,Kepler-71 b,CANDIDATE
9838975,K00218.01,,FALSE POSITIVE
6305192,K00219.01,Kepler-494 b,CANDIDATE
7132798,K00220.01,Kepler-119 b,CANDIDATE
7132798,K00220.02,Kepler-119 c,CANDIDATE
3937519,K00221.01,Kepler-495 b,CANDIDATE
3937519,K00221.02,,CANDIDATE
4249725,K00222.01,Kepler-120 b,CANDIDATE
4249725,K00222.02,Kepler-120 c,CANDIDATE
4545187,K00223.01,Kepler-121 b,CANDIDATE
4545187,K00223.02,Kepler-121 c,CANDIDATE
5547480,K00224.01,,FALSE POSITIVE
5801571,K00225.01,,FALSE POSITIVE
