star_id,period,radius,tdur,rhostar,rstar,mstar,npl,mass
92,6.32778347,2.79631076,0.14936877916666666,1.0,1.0,1.0,2,7.735779491237022
92,16.0526631,2.41174554,0.2181022575,1.0,1.0,1.0,2,6.048169523037159
207,0.232303525,2.08382345,0.05775057583333334,1.0,1.0,1.0,3,9.629917140757907
207,0.458484595,1.91563293,0.06954042833333333,1.0,1.0,1.0,3,5.830696123153057
207,0.698041663,1.44125739,0.0749201225,1.0,1.0,1.0,3,3.276746510391849
225,6.76400379,0.798499523,0.11314451833333333,1.0,1.0,1.0,2,0.5046768841945604
225,9.36674839,0.791208298,0.17928917416666668,1.0,1.0,1.0,2,0.4747593785632661
398,7.8691025,2.45989369,0.1721467675,1.0,1.0,1.0,5,7.3445695855255275
398,12.8576784,3.44568429,0.10754116458333333,1.0,1.0,1.0,5,10.197211370838577
398,21.2748737,3.62826913,0.23731257541666664,1.0,1.0,1.0,5,14.231958303546683
398,36.1461456,5.14315448,0.16042308583333334,1.0,1.0,1.0,5,31.922305305853143
398,51.8702231,5.12168642,0.22771814375,1.0,1.0,1.0,5,30.044935265358227
417,11.3343183,2.58592309,0.08255390291666666,1.0,1.0,1.0,2,6.017381738429684
417,25.6378173,3.09102704,0.15200380041666667,1.0,1.0,1.0,2,6.385647412021484
437,8.86532962,3.40506658,0.11519131541666666,1.0,1.0,1.0,3,14.048183508821639
437,14.3931497,5.33100909,0.2153663425,1.0,1.0,1.0,3,27.26438499722828
437,40.4495148,5.59230186,0.3090889,1.0,1.0,1.0,3,31.193146882734535
542,11.3333666,1.40459909,0.19445035958333334,1.0,1.0,1.0,4,3.2375636667236405
542,14.523632,1.67003414,0.20423930666666668,1.0,1.0,1.0,4,5.480317711310899
542,25.8134177,2.90057761,0.08386154750000001,1.0,1.0,1.0,4,7.302437428337542
542,47.139853,5.12908677,0.31992394125,1.0,1.0,1.0,4,30.874126918858163
581,0.375479891,0.555212424,0.06287198041666667,1.0,1.0,1.0,5,0.15412660928550398
581,0.959571825,0.637106751,0.08224237499999999,1.0,1.0,1.0,5,0.20147424535707326
581,2.18815295,1.09061726,0.08177821333333334,1.0,1.0,1.0,5,1.0699644951130969
581,2.9842223,1.43756173,0.08236702,1.0,1.0,1.0,5,3.437928354918459
581,4.31058136,0.875994993,0.046406445416666664,1.0,1.0,1.0,5,0.4681180213186179
850,6.61650906,1.70045591,0.11149309958333332,1.0,1.0,1.0,2,4.451528966774298
850,10.5842055,2.98023242,0.17658243791666664,1.0,1.0,1.0,2,9.840448809963544
1107,0.649017541,0.434376099,0.05757659166666667,1.0,1.0,1.0,2,0.10546028949300931
1107,0.929561773,0.515088338,0.0592443125,1.0,1.0,1.0,2,0.1354126293450028
1355,1.72321808,2.5340308,0.09324232791666666,1.0,1.0,1.0,7,9.63013205586649
1355,2.27892147,2.73036853,0.11184197,1.0,1.0,1.0,7,10.08094305427841
1355,3.56102246,2.16055259,0.09851408499999999,1.0,1.0,1.0,7,8.74910377326692
1355,4.76245092,2.40299865,0.12693927916666667,1.0,1.0,1.0,7,7.415091873321286
1355,6.82339044,6.46118592,0.15497247249999999,1.0,1.0,1.0,7,40.29717498058429
1355,10.2678068,4.30973229,0.1887602416666667,1.0,1.0,1.0,7,21.343993754915665
1355,21.5889166,5.40992482,0.21579927541666666,1.0,1.0,1.0,7,27.134133214117288
1865,11.6333363,4.44130653,0.14696443041666665,1.0,1.0,1.0,2,20.893006510606597
1865,29.5794834,4.54583839,0.20274483458333334,1.0,1.0,1.0,2,25.754718403884333
1920,0.8476897,1.32902488,0.0736672725,1.0,1.0,1.0,3,2.3440255838137403
1920,1.51959398,1.16770328,0.08761025583333333,1.0,1.0,1.0,3,1.2995168124093295
1920,2.46181363,1.2696041,0.08453313333333333,1.0,1.0,1.0,3,2.595872321325723
