# starID,Period_days,Radius_earth,Duration_hours
3,4.08927361e+01,1.30574478e+00,6.94130091e+00
7,3.68269837e+00,1.53659430e+00,2.91953172e+00
36,1.45991822e+01,1.77579032e+00,4.46983585e+00
67,8.94464068e+00,2.14673211e+00,1.83014240e+00
90,2.58257455e+01,2.03346269e+00,4.28104707e+00
92,6.32778347e+00,2.79631076e+00,3.58485070e+00
92,1.60526631e+01,2.41174554e+00,5.23445418e+00
125,3.49999356e+00,2.62201636e+00,2.06628288e+00
145,1.81233214e+01,2.28784322e+00,4.23101641e+00
168,5.81232225e+00,3.55085345e+00,2.96644364e+00
207,2.32303525e-01,2.08382345e+00,1.38601382e+00
207,4.58484595e-01,1.91563293e+00,1.66897028e+00
207,6.98041663e-01,1.44125739e+00,1.79808294e+00
225,6.76400379e+00,7.98499523e-01,2.71546844e+00
225,9.36674839e+00,7.91208298e-01,4.30294018e+00
246,1.05137844e+02,1.37002605e+00,9.40218382e+00
256,1.56619755e+01,4.12506810e+00,4.94304554e+00
309,4.66786578e+01,2.16519762e+00,6.75345799e+00
326,1.31221659e+01,5.03801502e+00,4.80268653e+00
362,9.36613289e+00,1.15806385e+00,4.12913619e+00
398,7.86910250e+00,2.45989369e+00,4.13152242e+00
398,1.28576784e+01,3.44568429e+00,2.58098795e+00
398,2.12748737e+01,3.62826913e+00,5.69550181e+00
398,3.61461456e+01,5.14315448e+00,3.85015406e+00
398,5.18702231e+01,5.12168642e+00,5.46523545e+00
404,1.54355312e+01,1.46992773e+00,1.44018272e+00
411,9.82861561e+00,2.08087814e+00,3.67051880e+00
417,1.13343183e+01,2.58592309e+00,1.98129367e+00
417,2.56378173e+01,3.09102704e+00,3.64809121e+00
421,1.17067062e+01,2.64827608e+00,2.14240125e+00
437,8.86532962e+00,3.40506658e+00,2.76459157e+00
437,1.43931497e+01,5.33100909e+00,5.16879222e+00
437,4.04495148e+01,5.59230186e+00,7.41813360e+00
542,1.13333666e+01,1.40459909e+00,4.66680863e+00
542,1.45236320e+01,1.67003414e+00,4.90174336e+00
542,2.58134177e+01,2.90057761e+00,2.01267714e+00
542,4.71398530e+01,5.12908677e+00,7.67817459e+00
581,3.75479891e-01,5.55212424e-01,1.50892753e+00
581,9.59571825e-01,6.37106751e-01,1.97381700e+00
581,2.18815295e+00,1.09061726e+00,1.96267712e+00
581,2.98422230e+00,1.43756173e+00,1.97680848e+00
581,4.31058136e+00,8.75994993e-01,1.11375469e+00
605,1.93427782e+01,2.35180792e+00,4.93182757e+00
645,5.67452611e+00,4.33816754e-01,1.28043078e+00
782,4.41363070e+01,2.07041858e+00,6.57719160e+00
850,6.61650906e+00,1.70045591e+00,2.67583439e+00
850,1.05842055e+01,2.98023242e+00,4.23797851e+00
984,6.23660959e+00,1.24341749e+00,3.35845287e+00
1022,5.90785305e-01,1.86526705e+00,1.08740603e+00
1060,5.54986783e+00,8.24921833e-01,3.56342056e+00
1095,1.11218746e+01,1.97207980e+00,3.38496342e+00
1096,2.93366098e+01,3.61796078e+00,6.54714850e+00
1101,3.84632204e+00,2.23778943e+00,2.72809446e+00
1107,6.49017541e-01,4.34376099e-01,1.38183820e+00
1107,9.29561773e-01,5.15088338e-01,1.42186350e+00
1148,1.27478238e+02,2.87356341e+00,6.96465667e+00
1201,1.31328821e+01,1.82752940e+00,4.08824760e+00
1317,5.91517907e+00,4.23111732e-01,3.46286591e+00
1334,7.08707657e+00,1.40983777e+00,3.20593640e+00
1343,8.04368111e+00,1.33360865e+00,8.37424173e-01
1355,1.72321808e+00,2.53403080e+00,2.23781587e+00
1355,2.27892147e+00,2.73036853e+00,2.68420728e+00
1355,3.56102246e+00,2.16055259e+00,2.36433804e+00
1355,4.76245092e+00,2.40299865e+00,3.04654270e+00
1355,6.82339044e+00,6.46118592e+00,3.71933934e+00
1355,1.02678068e+01,4.30973229e+00,4.53024580e+00
1355,2.15889166e+01,5.40992482e+00,5.17918261e+00
1386,1.83942516e+01,1.35038653e+00,4.69121077e+00
1441,2.28436873e+01,2.37556509e+00,5.32301381e+00
1450,8.55072645e+00,1.50708902e+00,4.23093682e+00
1501,4.44982072e+00,2.95684886e+00,1.19975127e+00
1511,6.23929329e+01,3.85298907e+00,7.46432936e+00
1569,9.77339904e+00,1.38490342e+00,4.38836406e+00
1666,4.01310732e+00,2.55385714e+00,1.52755370e+00
1728,4.46444404e+00,9.67134342e-01,3.37902318e+00
