# starID,Period_days,Radius_earth,Duration_hours
3,4.08927361e+01,1.27921038e+00,6.94130091e+00
3,7.66714397e+01,9.90380299e-01,0.00000000e+00
3,1.38490214e+02,1.81997435e+00,0.00000000e+00
3,2.69130963e+02,2.28349589e+00,0.00000000e+00
3,5.26900935e+02,3.74183366e+00,0.00000000e+00
3,6.41286858e+02,2.32572124e+00,0.00000000e+00
7,3.68269837e+00,1.57482111e+00,2.91953172e+00
7,5.96433011e+00,1.03795916e+00,3.61265780e+00
7,9.45498099e+00,9.29776056e-01,0.00000000e+00
7,1.84740637e+01,8.81053310e-01,0.00000000e+00
7,3.30874728e+01,1.12039930e+00,6.64857411e+00
7,6.00923143e+01,1.17656533e+00,0.00000000e+00
7,8.37619659e+01,7.67710889e-01,0.00000000e+00
7,1.59517887e+02,5.63237269e-01,2.54128770e+00
7,3.63262198e+02,4.90938646e-01,0.00000000e+00
7,5.93902296e+02,4.92361871e-01,0.00000000e+00
36,8.67821683e+00,1.65220039e+00,0.00000000e+00
36,1.45991822e+01,1.79518633e+00,4.46983585e+00
36,1.76822516e+01,1.36717113e+00,0.00000000e+00
36,4.00159010e+01,1.27231391e+00,0.00000000e+00
36,6.44624375e+01,7.79560864e-01,0.00000000e+00
36,1.41450033e+02,9.32324741e-01,0.00000000e+00
36,6.52689462e+02,1.15913037e+00,0.00000000e+00
67,8.94464068e+00,2.16037068e+00,1.83014240e+00
67,1.85338295e+01,1.85456620e+00,0.00000000e+00
67,5.06098119e+01,2.17718729e+00,0.00000000e+00
67,1.33285047e+02,1.55217334e+00,0.00000000e+00
67,2.46038247e+02,1.94825442e+00,0.00000000e+00
67,6.74963648e+02,1.52168651e+00,0.00000000e+00
90,2.58257455e+01,2.01486408e+00,4.28104707e+00
90,5.37179203e+01,2.23951466e+00,0.00000000e+00
90,1.13932284e+02,2.07935872e+00,0.00000000e+00
90,3.17852660e+02,2.41610990e+00,0.00000000e+00
90,4.04364108e+02,5.65356953e+00,1.59789258e+01
90,6.16546251e+02,4.83867485e+00,0.00000000e+00
92,6.32778347e+00,2.80756633e+00,3.58485070e+00
92,1.07363811e+01,1.62383911e+00,4.29627776e+00
92,1.60526631e+01,2.47965098e+00,5.23445418e+00
92,2.71755775e+01,1.88281766e+00,2.40252058e+00
92,4.96954675e+01,1.95215548e+00,0.00000000e+00
92,7.28078146e+01,1.76542520e+00,7.63598217e+00
92,1.02502572e+02,1.48442511e+00,0.00000000e+00
92,2.55968479e+02,1.59892696e+00,8.84148385e+00
92,6.95744121e+02,2.11775079e+00,0.00000000e+00
125,3.49999356e+00,2.64688962e+00,2.06628288e+00
125,5.49659961e+00,4.45813882e+00,0.00000000e+00
125,1.13979652e+01,6.78357435e+00,0.00000000e+00
125,1.78625140e+01,9.29376222e+00,0.00000000e+00
125,2.78150647e+01,1.05143116e+01,2.46433760e+00
125,4.29504496e+01,1.18404525e+01,0.00000000e+00
125,8.12384617e+01,9.13913124e+00,0.00000000e+00
125,1.47504199e+02,4.90109145e+00,0.00000000e+00
125,3.62775864e+02,3.92788343e+00,0.00000000e+00
145,1.81233214e+01,2.25083304e+00,4.23101641e+00
145,3.94930840e+01,1.40154583e+00,0.00000000e+00
145,9.66926261e+01,1.12107626e+00,0.00000000e+00
145,4.52626465e+02,8.21986832e-01,0.00000000e+00
168,5.81232225e+00,3.45536068e+00,2.96644364e+00
168,9.32308084e+00,1.88954538e+00,0.00000000e+00
168,1.33069718e+01,1.83269180e+00,0.00000000e+00
168,2.02248675e+01,1.31324494e+00,0.00000000e+00
168,2.71403156e+01,1.33471567e+00,0.00000000e+00
168,7.32386044e+01,1.10079497e+00,0.00000000e+00
168,2.52487264e+02,7.49422912e-01,0.00000000e+00
168,4.52861356e+02,9.79194524e-01,0.00000000e+00
168,7.11177355e+02,1.37604237e+00,0.00000000e+00
207,2.32303525e-01,2.13817134e+00,1.38601382e+00
207,4.58484595e-01,2.01188429e+00,1.66897028e+00
207,6.98041663e-01,1.45171023e+00,1.79808294e+00
207,1.54471071e+00,1.82176987e+00,0.00000000e+00
207,3.47826615e+00,1.07923876e+00,0.00000000e+00
207,4.79128698e+00,8.51326949e-01,1.06302995e+00
207,8.69946934e+00,1.09420936e+00,0.00000000e+00
207,1.93312314e+01,7.58817700e-01,0.00000000e+00
207,3.70720549e+01,1.30933681e+00,0.00000000e+00
207,5.08260061e+01,2.64363315e+00,0.00000000e+00
225,6.76400379e+00,7.82010545e-01,2.71546844e+00
225,9.36674839e+00,8.24656338e-01,4.30294018e+00
225,1.36046251e+01,6.36221215e-01,0.00000000e+00
225,2.68943922e+01,5.48272895e-01,0.00000000e+00
225,4.87362468e+01,3.31849295e-01,6.90411240e+00
225,8.90790201e+01,6.30042766e-01,6.37934959e+00
225,1.22990943e+02,4.42889797e-01,0.00000000e+00
225,2.27326811e+02,6.06704758e-01,0.00000000e+00
225,5.86641522e+02,6.61438815e-01,0.00000000e+00
246,1.60896456e+01,7.51697205e-01,4.88243824e+00
246,5.43118369e+01,1.01838338e+00,7.42198665e+00
246,1.05137844e+02,1.36596280e+00,9.40218382e+00
246,1.86914384e+02,1.89238636e+00,0.00000000e+00
246,3.86983937e+02,2.13308655e+00,0.00000000e+00
256,1.56619755e+01,4.08896885e+00,4.94304554e+00
256,3.25064522e+01,5.36309672e+00,0.00000000e+00
256,9.30350444e+01,8.67924839e+00,0.00000000e+00
256,2.12286205e+02,4.73244239e+00,0.00000000e+00
256,3.59418228e+02,4.94091144e+00,0.00000000e+00
256,5.70879054e+02,5.48168607e+00,0.00000000e+00
309,8.07282861e+00,1.73522773e+00,0.00000000e+00
309,1.56092134e+01,1.54325707e+00,0.00000000e+00
309,4.66786578e+01,2.11778040e+00,6.75345799e+00
309,6.42383142e+01,2.64248956e+00,0.00000000e+00
309,1.03897069e+02,6.01979604e+00,0.00000000e+00
309,2.25153676e+02,1.19862304e+01,0.00000000e+00
309,4.82090195e+02,1.63470046e+01,6.16752676e+00
309,5.92766042e+02,1.20270864e+01,0.00000000e+00
326,1.07550473e+01,3.20329084e+00,0.00000000e+00
326,1.31221659e+01,5.11243106e+00,4.80268653e+00
326,2.65351723e+01,5.31758197e+00,0.00000000e+00
326,5.98395937e+01,5.00936371e+00,0.00000000e+00
326,1.47419867e+02,4.01888070e+00,0.00000000e+00
326,3.07794451e+02,5.57080625e+00,0.00000000e+00
362,9.36613289e+00,1.10855609e+00,4.12913619e+00
362,1.85877646e+01,7.99400842e-01,0.00000000e+00
362,4.59284063e+01,1.28326106e+00,0.00000000e+00
362,6.62179695e+01,1.28126127e+00,0.00000000e+00
362,1.04154576e+02,1.12185947e+00,0.00000000e+00
362,2.20114065e+02,1.41256956e+00,0.00000000e+00
362,3.31486373e+02,1.48075780e+00,0.00000000e+00
362,6.50936186e+02,1.42406939e+00,0.00000000e+00
398,7.86910250e+00,2.41321564e+00,4.13152242e+00
398,1.28576784e+01,3.45409298e+00,2.58098795e+00
398,2.12748737e+01,3.73297710e+00,5.69550181e+00
398,3.61461456e+01,5.33339117e+00,3.85015406e+00
398,5.18702231e+01,5.00607744e+00,5.46523545e+00
398,1.68890483e+02,2.63873409e+00,0.00000000e+00
398,7.08828715e+02,3.96130994e+00,0.00000000e+00
404,6.79056458e+00,1.71282133e+00,0.00000000e+00
404,1.54355312e+01,1.48441146e+00,1.44018272e+00
404,2.76147403e+01,1.02874392e+00,0.00000000e+00
404,6.73957715e+01,1.72791306e+00,0.00000000e+00
404,1.09446697e+02,1.59836888e+00,0.00000000e+00
404,1.37919023e+02,1.61980800e+00,0.00000000e+00
404,3.27757695e+02,2.08092995e+00,0.00000000e+00
404,6.36031956e+02,1.64078416e+00,0.00000000e+00
411,7.88128970e+00,2.13872477e+00,0.00000000e+00
411,9.82861561e+00,2.12148487e+00,3.67051880e+00
411,1.68045792e+01,1.77733737e+00,0.00000000e+00
411,2.97487446e+01,2.11762882e+00,0.00000000e+00
411,6.66828355e+01,1.71534950e+00,0.00000000e+00
411,2.11844486e+02,1.94537871e+00,0.00000000e+00
411,5.21280579e+02,2.09918709e+00,0.00000000e+00
411,6.96047777e+02,2.85398995e+00,0.00000000e+00
417,1.13343183e+01,2.51856365e+00,1.98129367e+00
417,1.58084218e+01,3.15174647e+00,0.00000000e+00
417,2.56378173e+01,3.13009576e+00,3.64809121e+00
417,4.58017218e+01,2.60730822e+00,0.00000000e+00
417,6.47440714e+01,5.23248243e+00,0.00000000e+00
417,8.22506065e+01,4.38591087e+00,0.00000000e+00
417,1.80609201e+02,7.33354740e+00,0.00000000e+00
417,5.51880268e+02,5.88009498e+00,0.00000000e+00
421,1.17067062e+01,2.67645370e+00,2.14240125e+00
421,2.71050041e+01,2.56577188e+00,0.00000000e+00
421,4.73648001e+01,1.99491483e+00,0.00000000e+00
421,7.56132439e+01,2.88007040e+00,0.00000000e+00
421,1.00952061e+02,2.45791329e+00,0.00000000e+00
421,1.95589382e+02,2.07347660e+00,0.00000000e+00
437,8.86532962e+00,3.35355793e+00,2.76459157e+00
437,1.43931497e+01,5.45439584e+00,5.16879222e+00
437,4.04495148e+01,5.46849583e+00,7.41813360e+00
437,6.35454379e+01,4.14100449e+00,0.00000000e+00
437,8.31003309e+01,3.87375358e+00,8.56337616e+00
437,1.48529871e+02,5.18035453e+00,0.00000000e+00
437,2.51738557e+02,9.36874877e+00,0.00000000e+00
437,3.44569529e+02,1.03095996e+01,1.46769123e+01
437,5.56906109e+02,1.27056919e+01,0.00000000e+00
542,1.13333666e+01,1.45329060e+00,4.66680863e+00
542,1.45236320e+01,1.70255944e+00,4.90174336e+00
542,2.58134177e+01,2.90256103e+00,2.01267714e+00
542,4.71398530e+01,5.15770322e+00,7.67817459e+00
542,7.14559864e+01,2.87426273e+00,0.00000000e+00
542,1.11606462e+02,1.56739015e+00,0.00000000e+00
542,2.89932420e+02,1.64325764e+00,1.33624347e+01
542,4.46514525e+02,1.17551218e+00,0.00000000e+00
542,6.95186874e+02,9.86432404e-01,0.00000000e+00
581,3.75479891e-01,5.52693782e-01,1.50892753e+00
581,9.59571825e-01,6.41141697e-01,1.97381700e+00
581,2.18815295e+00,1.13856245e+00,1.96267712e+00
581,2.98422230e+00,1.37069933e+00,1.97680848e+00
581,4.31058136e+00,8.66465546e-01,1.11375469e+00
581,7.23815127e+00,6.75965922e-01,0.00000000e+00
581,1.32717633e+01,6.27700182e-01,0.00000000e+00
581,3.40077606e+01,8.72114270e-01,0.00000000e+00
581,1.64287611e+02,7.50804159e-01,0.00000000e+00
581,5.07092796e+02,5.30770128e-01,0.00000000e+00
605,3.12216654e+00,1.14175033e+00,0.00000000e+00
605,4.49534095e+00,1.21909002e+00,0.00000000e+00
605,1.07158053e+01,1.13933091e+00,0.00000000e+00
605,1.93427782e+01,2.28875160e+00,4.93182757e+00
605,4.18713114e+01,1.72501649e+00,0.00000000e+00
605,1.02044290e+02,1.96523729e+00,0.00000000e+00
605,1.75627755e+02,1.88059649e+00,0.00000000e+00
605,6.21152765e+02,3.53029385e+00,0.00000000e+00
645,5.67452611e+00,4.24301826e-01,1.28043078e+00
645,7.97629804e+00,4.20579415e-01,0.00000000e+00
645,1.32606363e+01,4.35440754e-01,0.00000000e+00
645,3.08188482e+01,6.12939432e-01,0.00000000e+00
645,4.60426521e+01,8.33422208e-01,0.00000000e+00
645,1.03080402e+02,1.54334671e+00,0.00000000e+00
645,1.42831812e+02,1.03244074e+00,0.00000000e+00
645,3.64585852e+02,1.19922705e+00,0.00000000e+00
782,2.17487573e+01,1.41922161e+00,0.00000000e+00
782,3.43297961e+01,1.58093212e+00,0.00000000e+00
782,4.41363070e+01,2.06068060e+00,6.57719160e+00
782,1.00818490e+02,2.33229742e+00,0.00000000e+00
782,1.86914515e+02,4.64557081e+00,0.00000000e+00
850,6.61650906e+00,1.72939174e+00,2.67583439e+00
850,1.05842055e+01,2.94128622e+00,4.23797851e+00
850,2.72720691e+01,1.92730495e+00,0.00000000e+00
850,5.17289959e+01,1.62640982e+00,0.00000000e+00
850,2.75791844e+02,1.40219934e+00,0.00000000e+00
850,3.57232978e+02,1.80659770e+00,0.00000000e+00
850,5.36316737e+02,1.62545786e+00,0.00000000e+00
984,6.23660959e+00,1.23718029e+00,3.35845287e+00
984,9.35457161e+00,1.05692150e+00,0.00000000e+00
984,2.19142121e+01,1.10712831e+00,0.00000000e+00
984,5.52978490e+01,7.74163041e-01,0.00000000e+00
984,8.59556770e+01,4.58652369e-01,0.00000000e+00
984,1.43315769e+02,5.10357305e-01,0.00000000e+00
984,2.45688595e+02,4.32454594e-01,0.00000000e+00
984,6.77004146e+02,6.69830209e-01,0.00000000e+00
1022,5.90785305e-01,1.82739338e+00,1.08740603e+00
1022,9.18707597e-01,1.41706969e+00,0.00000000e+00
1022,1.66986863e+00,1.56433823e+00,0.00000000e+00
1022,2.61307345e+00,1.51551339e+00,0.00000000e+00
1022,5.20135382e+00,1.72683726e+00,0.00000000e+00
