star_id,period,radius,tdur,rhostar,rstar,mstar,npl
3.0,76.6714397,0.990380299,0.0,1.0,1.0,1.0,4
3.0,138.490214,1.81997435,0.0,1.0,1.0,1.0,4
3.0,269.130963,2.28349589,0.0,1.0,1.0,1.0,4
7.0,5.96433011,1.03795916,0.15052740833333333,1.0,1.0,1.0,9
7.0,9.45498099,0.929776056,0.0,1.0,1.0,1.0,9
7.0,18.4740637,0.88105331,0.0,1.0,1.0,1.0,9
7.0,33.0874728,1.1203993,0.27702392125,1.0,1.0,1.0,9
7.0,60.0923143,1.17656533,0.0,1.0,1.0,1.0,9
7.0,83.7619659,0.767710889,0.0,1.0,1.0,1.0,9
7.0,159.517887,0.563237269,0.10588698749999999,1.0,1.0,1.0,9
7.0,363.262198,0.490938646,0.0,1.0,1.0,1.0,9
36.0,8.67821683,1.65220039,0.0,1.0,1.0,1.0,6
36.0,17.6822516,1.36717113,0.0,1.0,1.0,1.0,6
36.0,40.015901,1.27231391,0.0,1.0,1.0,1.0,6
36.0,64.4624375,0.779560864,0.0,1.0,1.0,1.0,6
36.0,141.450033,0.932324741,0.0,1.0,1.0,1.0,6
67.0,18.5338295,1.8545662,0.0,1.0,1.0,1.0,5
67.0,50.6098119,2.17718729,0.0,1.0,1.0,1.0,5
67.0,133.285047,1.55217334,0.0,1.0,1.0,1.0,5
67.0,246.038247,1.94825442,0.0,1.0,1.0,1.0,5
90.0,53.7179203,2.23951466,0.0,1.0,1.0,1.0,4
90.0,113.932284,2.07935872,0.0,1.0,1.0,1.0,4
90.0,317.85266,2.4161099,0.0,1.0,1.0,1.0,4
92.0,10.7363811,1.62383911,0.1790115733333333,1.0,1.0,1.0,8
92.0,27.1755775,1.88281766,0.10010502416666667,1.0,1.0,1.0,8
92.0,49.6954675,1.95215548,0.0,1.0,1.0,1.0,8
92.0,72.8078146,1.7654252,0.31816592375,1.0,1.0,1.0,8
92.0,102.502572,1.48442511,0.0,1.0,1.0,1.0,8
92.0,255.968479,1.59892696,0.36839516041666664,1.0,1.0,1.0,8
145.0,39.493084,1.40154583,0.0,1.0,1.0,1.0,3
145.0,96.6926261,1.12107626,0.0,1.0,1.0,1.0,3
168.0,9.32308084,1.88954538,0.0,1.0,1.0,1.0,7
168.0,13.3069718,1.8326918,0.0,1.0,1.0,1.0,7
168.0,20.2248675,1.31324494,0.0,1.0,1.0,1.0,7
168.0,27.1403156,1.33471567,0.0,1.0,1.0,1.0,7
168.0,73.2386044,1.10079497,0.0,1.0,1.0,1.0,7
168.0,252.487264,0.749422912,0.0,1.0,1.0,1.0,7
225.0,13.6046251,0.636221215,0.0,1.0,1.0,1.0,8
225.0,26.8943922,0.548272895,0.0,1.0,1.0,1.0,8
225.0,48.7362468,0.331849295,0.28767135,1.0,1.0,1.0,8
225.0,89.0790201,0.630042766,0.26580623291666666,1.0,1.0,1.0,8
225.0,122.990943,0.442889797,0.0,1.0,1.0,1.0,8
225.0,227.326811,0.606704758,0.0,1.0,1.0,1.0,8
246.0,16.0896456,0.751697205,0.20343492666666665,1.0,1.0,1.0,5
246.0,54.3118369,1.01838338,0.30924944375,1.0,1.0,1.0,5
246.0,186.914384,1.89238636,0.0,1.0,1.0,1.0,5
246.0,386.983937,2.13308655,0.0,1.0,1.0,1.0,5
326.0,10.7550473,3.20329084,0.0,1.0,1.0,1.0,6
326.0,26.5351723,5.31758197,0.0,1.0,1.0,1.0,6
326.0,59.8395937,5.00936371,0.0,1.0,1.0,1.0,6
326.0,147.419867,4.0188807,0.0,1.0,1.0,1.0,6
