# num_targets_sim_pass_one: 79935
# max_incl_sys: 0.0
# log_rate_clusters: -0.10536051565782628
# max_clusters_in_sys: 10
# log_rate_planets_per_cluster: 1.3506671834767394
# max_planets_in_clusters: 10
# power_law_P: 0.4
# min_period: 3.0
# max_period: 300.0
# min_radius (R_earth): 0.5
# max_radius (R_earth): 10.0
# f_high_incl: 0.42
# sigma_incl: 48.0
# sigma_incl_near_mmr: 1.4
# sigma_hk: 0.02
# num_mutual_hill_radii: 8.0
# mr_model: Ning2018_table
# sigma_log_radius_in_cluster: 0.31
# sigma_logperiod_per_pl_in_cluster: 0.21
#
target_id,star_id,star_mass,star_radius,num_obs_planets
61.0,73760.0,0.944,1.7642115,1.0
234.0,45788.0,0.916,0.90913475,1.0
273.0,47395.0,0.831,1.061231,1.0
491.0,35136.0,0.912,1.1244932,1.0
528.0,77377.0,0.859,0.78093207,1.0
720.0,36473.0,0.997,1.0740129,1.0
813.0,50430.0,1.125,1.3907495,1.0
1037.0,59938.0,0.751,0.73502976,1.0
1073.0,25183.0,1.0,1.0110272,1.0
1178.0,16679.0,0.904,1.0515348,1.0
1221.0,41775.0,0.846,0.8094911,1.0
1253.0,40042.0,1.072,1.7193383,1.0
1280.0,37671.0,0.775,0.68703336,1.0
1287.0,70308.0,1.581,1.587674,1.0
1382.0,16854.0,0.915,1.3970894,1.0
1422.0,16957.0,0.936,0.6317106,1.0
1566.0,75428.0,1.003,0.9294006,1.0
1575.0,13654.0,1.09,1.0873177,1.0
1618.0,60691.0,1.115,1.2434775,1.0
1649.0,21004.0,1.566,1.7553679,1.0
1964.0,75119.0,0.907,0.8186826,1.0
1965.0,57520.0,0.673,0.6421671,1.0
1987.0,51649.0,0.743,0.71915066,1.0
2017.0,31004.0,0.853,0.77032936,1.0
2101.0,6991.0,1.041,1.1592844,1.0
2145.0,76969.0,1.067,1.1215656,1.0
2175.0,15470.0,1.115,1.0576168,1.0
2195.0,17092.0,1.023,1.0671319,1.0
2258.0,15222.0,0.993,1.354216,1.0
2318.0,21187.0,0.831,0.977303,1.0
2346.0,29026.0,0.989,1.0876434,1.0
2468.0,42631.0,1.099,1.024056,1.0
2851.0,46638.0,0.735,1.5490482,1.0
2964.0,23275.0,0.927,1.2278602,1.0
2981.0,33862.0,1.083,1.133673,1.0
3131.0,35986.0,1.439,1.1540436,1.0
3165.0,21542.0,0.961,1.2971694,1.0
3235.0,49959.0,1.055,1.4011731,1.0
3271.0,57482.0,0.599,0.7445415,1.0
3353.0,12201.0,0.804,0.81345564,1.0
3373.0,77702.0,1.137,1.3047597,1.0
3478.0,22186.0,1.093,1.057858,1.0
3491.0,61738.0,0.976,1.082674,1.0
3565.0,10956.0,1.11,1.378063,1.0
3688.0,7184.0,0.717,0.59109455,1.0
3709.0,39403.0,0.867,1.0848687,1.0
3866.0,8781.0,0.709,1.0735863,1.0
3999.0,24283.0,0.874,1.1356949,1.0
4021.0,69168.0,0.944,0.89865935,1.0
4111.0,53377.0,0.986,1.088337,1.0
4202.0,50525.0,0.959,0.9425102,1.0
4229.0,72268.0,0.583,0.9281693,1.0
4244.0,9843.0,0.962,1.0303507,1.0
4302.0,44728.0,0.809,0.81381685,1.0
4334.0,13264.0,0.963,0.7975373,1.0
4350.0,71067.0,0.897,1.0335912,1.0
4493.0,37633.0,1.077,1.2643695,1.0
4575.0,64521.0,1.067,1.510075,1.0
4638.0,60001.0,0.878,0.7783532,1.0
4650.0,61873.0,0.967,0.7353418,1.0
4836.0,497.0,0.88,0.7559797,1.0
4883.0,1016.0,1.054,1.0307922,1.0
4907.0,19527.0,0.892,0.96224517,1.0
4919.0,60252.0,0.592,0.62319934,1.0
4932.0,51992.0,1.266,0.95990515,1.0
4960.0,59178.0,1.003,1.1410258,1.0
4975.0,22696.0,1.066,1.2651935,1.0
5212.0,56027.0,0.797,0.7903955,1.0
5220.0,57385.0,0.699,0.63498193,1.0
5260.0,737.0,0.771,0.9593483,1.0
5349.0,72269.0,1.089,1.1226814,1.0
5356.0,70672.0,0.745,0.901681,1.0
5369.0,24841.0,0.815,0.7975544,1.0
5390.0,18351.0,0.98,0.993374,1.0
5557.0,40461.0,1.551,1.4151783,1.0
5569.0,17314.0,1.105,1.1752709,1.0
5575.0,73355.0,0.551,0.67959577,1.0
5656.0,33009.0,0.897,0.9622949,1.0
5722.0,42673.0,1.082,0.92972416,1.0
5734.0,31548.0,0.832,1.1501471,1.0
5939.0,76350.0,0.834,0.70802,1.0
5944.0,67556.0,1.22,1.9232876,1.0
6120.0,38548.0,0.958,0.98975396,1.0
6277.0,27342.0,1.086,1.5623478,1.0
6298.0,43494.0,0.708,1.0083709,1.0
6302.0,79685.0,0.982,1.2932236,1.0
6382.0,30625.0,0.988,1.2833481,1.0
6436.0,36165.0,0.941,0.7978684,1.0
6456.0,48910.0,1.093,1.4233259,1.0
6485.0,39068.0,1.188,1.2860615,1.0
6486.0,67127.0,0.957,1.1756732,1.0
6624.0,52901.0,0.719,0.80375886,1.0
6698.0,77196.0,0.849,0.97502184,1.0
6720.0,49126.0,1.012,1.214198,1.0
6755.0,47679.0,0.975,1.048126,1.0
6857.0,63636.0,0.834,0.8228798,1.0
6912.0,29972.0,1.091,1.5121331,1.0
6959.0,71762.0,1.139,1.1887016,1.0
7003.0,62739.0,0.781,0.7054141,1.0
7014.0,45309.0,0.943,1.6588371,1.0
7109.0,70043.0,0.69,0.69136596,1.0
7134.0,4395.0,1.036,1.2974838,1.0
7258.0,73297.0,1.01,1.2331356,1.0
7344.0,11089.0,0.823,0.84912974,1.0
7368.0,46731.0,1.143,1.5699952,1.0
7377.0,9752.0,0.896,0.9598443,1.0
7384.0,25010.0,1.068,1.3143827,1.0
7561.0,76229.0,1.19,1.6189873,1.0
7769.0,15730.0,1.03,1.1954552,1.0
7821.0,62900.0,1.122,1.1837152,1.0
7831.0,6547.0,0.882,0.8444673,1.0
7945.0,41726.0,1.25,1.4155766,1.0
7964.0,32707.0,1.025,0.9379232,1.0
8032.0,23782.0,0.785,0.78703016,1.0
8111.0,11691.0,0.812,0.6819515,1.0
8125.0,10235.0,0.855,0.9160151,1.0
8129.0,140.0,1.154,1.1971629,1.0
8150.0,36885.0,1.66,1.8900158,1.0
8286.0,25056.0,1.006,1.7268131,1.0
8304.0,79213.0,0.895,1.0738916,1.0
8396.0,77834.0,0.994,1.1544836,1.0
8419.0,1766.0,0.816,0.9816314,1.0
8458.0,43171.0,1.079,1.2699157,1.0
8501.0,32641.0,1.207,1.4407815,1.0
8597.0,39118.0,0.643,0.65832746,1.0
8746.0,77240.0,0.82,0.7556446,1.0
8961.0,27516.0,1.437,1.0030199,1.0
